time,q1,q2,q3,qd1,qd2,qd3,e1,e2,e3,tau1,tau2,tau3
0.004171784,0.0,0.0,0.0,2.0858920000000003e-05,-1.0429460000000001e-05,1.6687136000000003e-05,2.0858920000000003e-05,-1.0429460000000001e-05,1.6687136000000003e-05,0.0,0.0,0.0
0.015895244,1.0286112800000015e-06,-5.143056400000047e-07,8.228890240000045e-07,0.00013842866,-6.921433e-05,0.00011074292800000001,0.00013740004872,-6.870002436e-05,0.000109920038976,1.3237418893155117,0.5942080583324586,0.17289128988524663
0.02431225,0.00010517125535067229,-5.2598222162417044e-05,8.41516304619131e-05,0.00030780624999999996,-0.00015390312499999998,0.00024624499999999997,0.00020263499464932768,-0.00010130490283758294,0.00016209336953808685,1.3237418893155117,0.5942080583324586,0.17289128988524663
0.034297232,0.00031240569168458035,-0.00015622777033222297,0.00024995349856060553,0.0006004031199999999,-0.0003002015599999999,0.0004803224959999999,0.0002879974283154195,-0.00014397378966777695,0.00023036899743939437,1.3219831778939866,0.5936502271438268,0.17264883457578153
0.044239704,0.0006227628814051258,-0.00031141842367080064,0.0004982532540427638,0.00099078668,-0.00049539334,0.0007926293439999999,0.00036802379859487413,-0.0001839749163291993,0.00029437608995723616,1.3193353346644443,0.592917926908304,0.172277896351672
0.054417638,0.0010362710989948553,-0.0005181843127914369,0.0008290735087972372,0.0014929700899999998,-0.0007464850449999999,0.0011943760719999997,0.00045669899100514444,-0.00022830073220856295,0.0003653025632027625,1.3151374879890745,0.5917168565896684,0.17169204292777107
0.064547875,0.0015529644450237956,-0.0007765424817618694,0.0012424415360598245,0.0020956118750000002,-0.0010478059375000001,0.0016764895000000001,0.0005426474299762046,-0.0002712634557381307,0.00043404796394017563,1.3094984293701528,0.5900958748921912,0.1709055015741437
0.074588976,0.0021782291442552434,-0.0010955104659931105,0.0017500103562890093,0.0027941732,-0.0013970866,0.0022353385600000003,0.0006159440557447567,-0.0003015761340068896,0.00048532820371099093,1.3429298032695773,0.6051027208807098,0.17527190663110798
0.084674038,0.0029128248380321303,-0.0014769105873369064,0.0023540848011841704,0.0035972932299999988,-0.0017986466149999994,0.0028778345839999995,0.0006844683919678685,-0.00032173602766309294,0.0005237497828158291,1.337147315452005,0.6036444047344525,0.17445420361589786
0.094545516,0.0037573610122534273,-0.0019223920401377475,0.0030567407579309373,0.00448182402,-0.00224091201,0.0035854592159999996,0.0007244630077465723,-0.0003185199698622523,0.0005287184580690624,1.3283097603669978,0.6010929501674582,0.17321785793925806
0.10458209,0.004712459198581717,-0.002433604343552575,0.0038600613261512286,0.00548111945,-0.002740559725,0.004384895560000001,0.0007686602514182838,-0.0003069553814474251,0.0005248342338487724,1.3180839856042137,0.5981842728009484,0.17178016346495326
